timestamp,machine_id,vibration,temperature,current,pressure,operating_hours
2024-01-01 08:00:00,CNC_1,1.2,65.5,12.3,2.1,1200
2024-01-01 08:00:00,CNC_2,0.8,62.1,11.8,1.9,980
2024-01-01 08:00:00,CNC_3,2.1,78.3,15.2,2.8,1450
2024-01-01 08:00:00,CNC_4,1.5,68.7,13.1,2.3,1100
2024-01-01 08:00:00,CNC_5,0.9,61.2,11.5,1.8,920
2024-01-01 09:00:00,CNC_1,1.3,66.1,12.4,2.1,1201
2024-01-01 09:00:00,CNC_2,0.9,63.2,11.9,1.9,981
2024-01-01 09:00:00,CNC_3,2.3,79.8,15.8,2.9,1451
2024-01-01 09:00:00,CNC_4,1.6,69.1,13.3,2.4,1101
2024-01-01 09:00:00,CNC_5,1.0,62.5,11.6,1.8,921
2024-01-01 10:00:00,CNC_1,1.4,67.2,12.6,2.2,1202
2024-01-01 10:00:00,CNC_2,1.1,64.8,12.1,2.0,982
2024-01-01 10:00:00,CNC_3,2.5,81.2,16.1,3.0,1452
2024-01-01 10:00:00,CNC_4,1.8,70.3,13.6,2.5,1102
2024-01-01 10:00:00,CNC_5,1.2,63.9,11.8,1.9,922
2024-01-01 11:00:00,CNC_1,1.5,68.5,12.8,2.3,1203
2024-01-01 11:00:00,CNC_2,1.3,66.1,12.3,2.1,983
2024-01-01 11:00:00,CNC_3,2.7,82.8,16.5,3.1,1453
2024-01-01 11:00:00,CNC_4,1.6,69.1,13.3,2.4,1101
2024-01-01 11:00:00,CNC_5,1.4,65.2,12.0,2.0,923
2024-01-01 12:00:00,CNC_1,1.6,69.8,13.0,2.4,1204
2024-01-01 12:00:00,CNC_2,1.5,67.5,12.5,2.2,984
2024-01-01 12:00:00,CNC_3,2.9,84.1,16.8,3.2,1454
2024-01-01 12:00:00,CNC_4,1.8,70.3,13.6,2.5,1102
2024-01-01 12:00:00,CNC_5,1.6,66.8,12.2,2.1,924
2024-01-01 17:00:00,CNC_6,,,,,1101
2024-01-01 17:00:00,CNC_7,,,,,1101
